system,workload,encryption_1,encryption_0,integrityCheck_0,integrityCheck_1,nice_0,nice_1,multithreading_0,multithreading_1,unlimitedWindowSize_0,unlimitedWindowSize_1,disableLzoCompressibilityTesting_0,disableLzoCompressibilityTesting_1,compat_3,compat_1,compat_2,compat_4,compat_5
lrzip,ambivert,-0.03687696960658702,-0.005757382571780789,0.011715470981084983,-0.08162928423944155,-0.05019644369053499,-0.03233263980475299,0.02648711547168947,-0.03001833562654616,0.025319887204551795,-0.02769479637226472,-0.13475139965109278,-0.01353161008754925,-0.1307955249636394,-0.042549554443504556,-0.053716972406837094,-0.0664340776690893,0.010185977909038378
lrzip,artificl,0.09945996761026549,0.1630152547387398,0.09131449878947974,0.20854449282809337,0.14163489335144303,0.1148036385062032,0.06947331330258817,0.2564804956335907,0.2773455524189411,0.1584257326868183,-0.016195733468157378,0.07818191809217859,0.1259871313890432,-0.03558577509845907,0.20438090752091737,0.1422837860053185,-0.13553528501141035
lrzip,deepfield,-0.028052699867907604,-0.007004914826996103,0.004995329547886007,-0.06195862810672248,0.02304273390398521,-0.01789828921991177,0.01790898789337149,-0.028603612017427556,0.037726848867561155,-0.015325801034673087,-0.20789169325415793,0.025113137679275917,-0.17265247006736442,-0.16024317552923878,-0.09735516437286909,-0.053206123270578096,0.13276046364739089
lrzip,enwik8,-0.04784770259233915,0.0038023929621887995,0.010453331337770478,-0.08783346369901324,-0.01793928358533019,-0.03725956432606531,0.0036609033350601134,-0.04799041445932282,0.04883668595769155,-0.049218331022399406,-0.2328793436644602,-0.03800501571972394,-0.13762726583850912,-0.11105198179557506,-0.20854416675166615,-0.09732552223997129,0.024082996325903966
lrzip,fannie_mae_500k,0.008418394313175778,-0.0106838976569826,0.022023519027003197,-0.10041511553401775,-0.035290675817401265,-0.10438157698364024,-0.029676453354533287,-0.04317753069455608,-0.0020708281866595023,-0.00460926008833619,-0.08389946824294875,0.07445384708241216,-0.17927061929610016,-0.12551103721359258,-0.23151043804364574,-0.03046878383488663,0.004656504796904243
lrzip,large,-0.006937864939354712,-0.0005406140188748437,0.09506615523417226,-0.01993741213478306,0.0536074396814115,-0.01610569722063518,-0.03358521335431167,0.06298730725604261,0.044115447793140555,-0.006564680261047956,-0.03421532688373747,0.03382675303728247,-0.03426169783009143,-0.13311316246212757,-0.21814428543012193,0.08112098043834894,-0.053606148395470996
lrzip,misc,0.03745424086374478,0.16235811837515432,0.15009760177821863,0.19896827630165095,0.139870983863013,0.13155392275159966,0.047929950591929164,0.21277211801542734,0.18883863253460687,0.16089511265849218,-0.07859496570709329,0.17122904246499543,0.023429693099791076,0.0957391347864348,0.017304921561870783,0.22673666504528595,-0.12832136073742131
lrzip,silesia,-0.041300253284235505,-0.01266415708491416,-0.0025970048099783786,-0.09311702263895266,0.043958834541809204,-0.024175990414771587,0.021307185504011512,-0.06304018716345716,0.027899530233260313,-0.0366990044139542,-0.13605601103278941,-0.08846583503125137,-0.12564601675438145,-0.18644684624623042,-0.11849521181267,-0.08748089566160218,0.002637246376046333
lrzip,uiq2-4,-0.005039696233288483,-0.008731694560489464,0.011365680604455808,-0.08960983200602061,-0.02538015614333555,-0.04378625863500342,-0.054626010377184,-0.05512126093158802,-0.019425823414999162,-0.03494879672916944,-0.14256183648163753,-0.02693348580319831,-0.13715639367619042,-0.05311825496382795,-0.2099448921935426,-0.012276885103644795,0.037223915258090316
lrzip,uiq2-8,-0.03174679079914628,-0.0018620314799432211,0.014635426136666274,-0.07306458746370631,0.010020786554207309,-0.04969961660091173,0.011542010998309243,-0.04415033464214589,-0.015208161551260386,-0.009950633573229655,-0.1910087154595171,-0.08082412028736641,-0.15901653378168648,-0.12056867328813822,-0.0987174337967435,-0.054186602784892485,0.021797770774352517
lrzip,uiq2-16,-0.028394768862165652,-0.012299399235254187,-0.023499800647248166,-0.09432162618073414,-0.03357676566932816,-0.05037257158007784,-0.014965420829727254,-0.027595660864856982,-0.04785183214835453,-0.04933135665169709,-0.10373987814138515,-0.06734745523690426,-0.16564452361729198,-0.15743278889413212,-0.08923286784157228,-0.07130752636977636,0.04170864556910717
lrzip,uiq-32,-0.044185769703150905,0.009965568791299909,0.08066998220133079,-0.02833471657833991,0.029329345207538292,-0.04536169656230921,0.04400281038851669,-0.016807012558441504,-0.09742367729231,-0.018092829410716462,-0.16328358374279067,-0.0641339149372134,-0.16129387155606972,-0.05550388275066816,-0.11615892490510413,-0.11674330124062948,0.04534883902789634
lrzip,vmlinux-5,-0.043894945626464336,0.007356819573521079,-0.004131200012252145,-0.06368591003766028,-0.009724398657128507,0.010991548985717612,0.011895572102030197,-0.021457748418599546,0.055878504210626116,0.0013410565199204934,-0.1329979208309437,0.07688743668754637,-0.13991325527008394,-0.06364046070357318,-0.18300239691947462,-0.03376854162377481,0.010946469292802309
,