system,workload,auto_config_1,auto_config_0,debug_ref_count_0,debug_ref_count_1,dump_models_0,dump_models_1,model_0,model_1,model_validate_0,model_validate_1,proof_0,proof_1,smtlib2_compliant_0,smtlib2_compliant_1,stats_0,stats_1,trace_0,trace_1,type_check_0,type_check_1,unsat_core_0,unsat_core_1,well_sorted_check_0,well_sorted_check_1
z3,AUFNIRA_z3,0.6247990384783734,0.6797332405976758,0.7507100476793068,0.6202007080298383,0.5921315126699902,0.5669933261785391,0.540351156366167,0.5177471334590187,0.5330388448931987,0.43202583000042494,0.5833364018481392,0.5707742518058556,0.5902398038793089,0.6343000901699859,0.6529527949769217,0.6356144110223595,0.6444364884685496,0.6685456019400043,0.647119934198287,0.647312807914979,0.5618368769412906,0.5828196752591135,0.5510422236971213,0.6150825787091264
z3,LRA_formula_277,0.6701674619674657,0.6537689439860322,0.659922488729835,0.6739773746497367,0.6418904315305765,0.6294175695559188,0.5976607901537359,0.597703430289046,0.6241024742601626,0.6174833415517735,0.6363080812837186,0.6667570387260271,0.5849249157854086,0.6052646097622283,0.6474163822766845,0.5707815554403618,0.6616590943476698,0.6620860001571152,0.6606202843127288,0.6578044386114533,0.6322160228159075,0.6370059234284094,0.5639641565347041,0.6239059514271128
z3,QF_AUFBV_891_sqlite3,0.6437092530029248,0.7358793022786587,0.6367329550026608,0.6322725680551152,0.6174090968962657,0.6349042519221427,0.6560814502691242,0.6232990135071514,0.5115812322420675,0.5524240556185511,0.6053485761997621,0.5719548401154657,0.6042122615018594,0.601697116334523,0.5361057051610661,0.437634059543531,0.692235312114491,0.5827265559413697,0.5279652690512076,0.5813238304955393,0.562830968590125,0.5980700007608082,0.5496496170944429,0.4998143549093194
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002,0.7332673695653666,0.7537699968592422,0.7024828709254466,0.67687258379139,0.643731908999736,0.6442447820836488,0.6235343174262541,0.6415401614676358,0.614369485805043,0.6064455054488519,0.5485117495014326,0.45978626408331086,0.5913563652237792,0.5987108389081698,0.5977133143307388,0.5779605737755277,0.5547467162269926,0.4669555864310087,0.5617789829005665,0.6168288313244922,0.642785595234949,0.6456461546765835,0.586326841322287,0.591619908191036
z3,QF_BV_bench_3176,0.4729803839337787,0.4580783666001252,0.5075458312015895,0.4741868101468852,0.47232246284521734,0.4752804165986194,0.4885855894341833,0.3744237966308019,0.4191448622336463,0.37330172732431477,0.5711463290146007,0.754739556481584,0.4679055063116525,0.4802026641259061,0.4276135344600018,0.40713647387667323,0.5007113495212204,0.47129744139154384,0.5357730339785188,0.48365545058308645,0.7231451477833148,0.5783275519243303,0.4215366383139206,0.40782160007468643
z3,QF_BV_bench_935,0.45428925534367876,0.4656834059921646,0.47174224325321096,0.5037375883364374,0.42071839481891493,0.4534161239072693,0.47043844366908283,0.4692151533503191,0.38227036678536697,0.29328000376568397,0.529691803931246,0.6461467486892639,0.5154131404324429,0.5190811542784608,0.4039457986703951,0.47516859467707173,0.5061986953468472,0.5189828527627285,0.49927648730399243,0.48491714167305205,0.6725723185207525,0.6064485466216071,0.4362457168518071,0.4204297326016693
z3,QF_LIA_tightrhombus,0.6329696333439698,0.5253917223439761,0.5092930647237505,0.5140898444370424,0.47845542775295397,0.48165680558215473,0.5135546419012256,0.48556292047497934,0.4947488690917499,0.42423331537475567,0.537607388201068,0.5211937517575108,0.5051448667945354,0.5459036329923281,0.45455501098207113,0.4249106057626005,0.5119935389414066,0.5030904346228489,0.5057748322702698,0.47559942808563205,0.5370576659327696,0.5791987840188292,0.49617635975532254,0.5051993775018959
z3,QF_LRA_clocksynchro_7clocks,0.6521048438238294,0.6416868644731746,0.5667187868206602,0.5832392721222254,0.505116280617666,0.5347219584698621,0.5236882136484015,0.5161759325414724,0.4563516352034375,0.4796532864565673,0.5025589731774702,0.5331797656054015,0.5396643282823778,0.516970748063699,0.5774391771213401,0.5221981383772359,0.5230258428808198,0.4897835652919379,0.5502272893471319,0.5540504676628089,0.5350867232092651,0.5321378748220315,0.5390811210125132,0.5582672966433833
z3,QF_NRA_hong_9,0.6861669116716781,0.6803026699462705,0.6788008197380908,0.6801312108801085,0.6327282307517641,0.6526230668760151,0.6225518168702724,0.6667950709925399,0.6714588773709461,0.6818194400696388,0.17067714751158533,0.21880570730400437,0.5977614554182806,0.6009414597954028,0.6691226566544681,0.6844979709860174,0.6536111618081305,0.6246972309037088,0.6425904129724432,0.6633066628664092,0.6427852558053879,0.6344053635801422,0.6711397536942294,0.6303737857401942
z3,QF_RDL_orb08_888,0.7289398688219805,0.7656385976560169,0.5958517547026131,0.5646072945778943,0.4621926064029292,0.5423537354508289,0.49852576338279503,0.4924921469525233,0.5075587774890495,0.4936717414978899,0.4773705765043144,0.47277671503559143,0.5427796765038815,0.57079348898941,0.4407153503406907,0.4381433731449254,0.5775793232527899,0.5443722174940856,0.49253705451215724,0.5214181301928795,0.5477373845383008,0.6067033919309887,0.5122961053725872,0.4937960311642868
z3,QF_UFLIA_xs_23_43,0.6959383777039243,0.7236373856851561,0.5424692924263554,0.5985672857898544,0.5732474828942654,0.5312296865882716,0.4737108105092703,0.4829014389011875,0.48261120107868277,0.5129128347544014,0.4862456958111758,0.5610305275045119,0.5007998717825286,0.5201219698761972,0.5201317019879238,0.5264866505445206,0.5657941143917875,0.4834456089517835,0.5371899094025891,0.5819477431116409,0.5766382996460769,0.5323370432761937,0.5569723419982187,0.5149845268338142
z3,QF_UF_PEQ018_size6,0.6762715657982384,0.6318824661615646,0.7141996362303317,0.5459071144412008,0.44564842601053806,0.4517155473602271,0.3174509149246656,0.34440946309851883,0.3487821074806441,0.4326895843244125,0.49916922392882046,0.5100562338286069,0.4498651849268062,0.4285278292464046,0.4395471693072707,0.4705707369523154,0.5051335563661365,0.4892610593756117,0.4874540359849141,0.506994248055579,0.4011637373635417,0.4151007064550983,0.4437188138353156,0.48255412290278216
